layout,target_object,policy,hidden_world_action_max_abs_difference
Hx_00_26,akita_black_bowl_1,native,0.0
Hx_00_26,akita_black_bowl_1,best,0.39936548471450806
Hx_00_34,akita_black_bowl_1,native,0.0
Hx_00_34,akita_black_bowl_1,best,0.4266994595527649
Hx_02_22,milk_1,native,0.0
Hx_02_22,milk_1,best,0.4637276530265808
Hx_02_26,milk_1,native,0.0
Hx_02_26,milk_1,best,0.5166965425014496
Hx_02_34,milk_1,native,0.0
Hx_02_34,milk_1,best,0.5172961950302124
Hx_02_44,milk_1,native,0.0
Hx_02_44,milk_1,best,0.5367847681045532
Hx_03_22,orange_juice_1,native,0.0
Hx_03_22,orange_juice_1,best,0.3837745785713196
Hx_03_26,orange_juice_1,native,0.0
Hx_03_26,orange_juice_1,best,0.4137570261955261
Hx_03_44,orange_juice_1,native,0.0
Hx_03_44,orange_juice_1,best,0.521094024181366
Hx_05_22,black_book_1,native,0.0
Hx_05_22,black_book_1,best,0.4909616708755493
Hx_05_26,black_book_1,native,0.0
Hx_05_26,black_book_1,best,0.32760757207870483
Hx_05_34,black_book_1,native,0.0
Hx_05_34,black_book_1,best,0.3819756507873535
Hx_05_44,black_book_1,native,0.0
Hx_05_44,black_book_1,best,0.58240807056427
