kind,our_training_split,condition,best_minus_native_macro_task,ci_low,ci_high,tasks,independent_layouts,analysis_manual_seed,interpretation
H,test,hidden,0.875,0.625,1.0,2,7,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
H,test,visible,-0.125,-0.375,0.0,2,7,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
H,train,hidden,0.5,0.5,0.5,2,6,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
H,train,visible,0.0,0.0,0.0,2,6,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,test,minus_y,0.0,0.0,0.0,1,4,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,test,normal,0.25,0.0,0.75,1,4,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,test,plus_y,0.0,0.0,0.0,1,4,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,train,minus_y,0.0,0.0,0.0,2,8,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,train,normal,0.0,0.0,0.0,2,8,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,train,plus_y,0.0,0.0,0.0,2,8,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,validation,minus_y,0.0,0.0,0.0,1,4,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,validation,normal,0.0,0.0,0.0,1,4,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
P,validation,plus_y,0.0,0.0,0.0,1,4,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,test,camera,-0.0625,-0.375,0.25,4,16,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,test,combined,0.0,-0.375,0.375,4,16,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,test,lighting,0.1875,-0.25,0.625,4,16,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,test,normal,0.0625,-0.25,0.3125,4,16,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,train,camera,0.0859375,0.0,0.1796875,32,128,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,train,combined,0.0859375,0.0,0.1796875,32,128,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,train,lighting,0.015625,-0.03125,0.0625,32,128,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,train,normal,-0.0234375,-0.078125,0.0234375,32,128,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,validation,camera,0.125,0.0,0.375,4,16,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,validation,combined,0.1875,-0.125,0.5,4,16,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,validation,lighting,0.0625,-0.1875,0.3125,4,16,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
S,validation,normal,-0.0625,-0.375,0.25,4,16,3317,"exploratory hierarchical interval, not a multiplicity-corrected significance claim"
