kind,case_id,layout,task_index,our_training_split,target_object,condition,policy,correct_or_successful,control_steps,wall_seconds,axis_displacement_m,target_index,manual_seed
H,Hx_00_26_target0_visible,Hx_00_26,13,train,akita_black_bowl_1,visible,native,True,5,8.693364476785064,-0.0050154402089445625,0,16243
H,Hx_00_26_target0_visible,Hx_00_26,13,train,akita_black_bowl_1,visible,best,True,5,8.73090433795005,-0.0037798336957150964,0,16243
H,Hx_00_26_target0_hidden,Hx_00_26,13,train,akita_black_bowl_1,hidden,native,True,5,8.485156008973718,-0.009711822023287969,0,16243
H,Hx_00_26_target0_hidden,Hx_00_26,13,train,akita_black_bowl_1,hidden,best,True,5,8.89466102141887,-0.0025165524599088454,0,16243
H,Hx_00_26_target1_visible,Hx_00_26,13,train,akita_black_bowl_1,visible,native,True,5,8.592477399855852,0.015728775009523424,1,16243
H,Hx_00_26_target1_visible,Hx_00_26,13,train,akita_black_bowl_1,visible,best,True,5,8.706092704087496,0.019348821215262747,1,16243
H,Hx_00_26_target1_hidden,Hx_00_26,13,train,akita_black_bowl_1,hidden,native,False,5,8.483727233484387,-0.009711822023288007,1,16243
H,Hx_00_26_target1_hidden,Hx_00_26,13,train,akita_black_bowl_1,hidden,best,True,5,8.500350564718246,0.017953359999947006,1,16243
H,Hx_00_34_target0_visible,Hx_00_34,13,train,akita_black_bowl_1,visible,native,True,5,8.520161136053503,-0.004898795060400831,0,16251
H,Hx_00_34_target0_visible,Hx_00_34,13,train,akita_black_bowl_1,visible,best,True,5,8.591289673000574,-0.0034378945327901353,0,16251
H,Hx_00_34_target0_hidden,Hx_00_34,13,train,akita_black_bowl_1,hidden,native,True,5,8.527291985228658,-0.013386870661620946,0,16251
H,Hx_00_34_target0_hidden,Hx_00_34,13,train,akita_black_bowl_1,hidden,best,True,5,8.834545772522688,-0.0034891881334733407,0,16251
H,Hx_00_34_target1_visible,Hx_00_34,13,train,akita_black_bowl_1,visible,native,True,5,8.668961352668703,0.01692281435291724,1,16251
H,Hx_00_34_target1_visible,Hx_00_34,13,train,akita_black_bowl_1,visible,best,True,5,8.663303554058075,0.01809153642344793,1,16251
H,Hx_00_34_target1_hidden,Hx_00_34,13,train,akita_black_bowl_1,hidden,native,False,5,8.490299742668867,-0.013386870661620892,1,16251
H,Hx_00_34_target1_hidden,Hx_00_34,13,train,akita_black_bowl_1,hidden,best,True,5,9.089452039450407,0.017266150310664113,1,16251
H,Hx_05_22_target0_visible,Hx_05_22,9,test,black_book_1,visible,native,True,5,8.502194296568632,-0.002063683119854387,0,12239
H,Hx_05_22_target0_visible,Hx_05_22,9,test,black_book_1,visible,best,False,5,8.682817500084639,-0.001085705877608506,0,12239
H,Hx_05_22_target0_hidden,Hx_05_22,9,test,black_book_1,hidden,native,False,5,8.401700561866164,7.883044561740604e-05,0,12239
H,Hx_05_22_target0_hidden,Hx_05_22,9,test,black_book_1,hidden,best,True,5,8.64756354317069,-0.0026285967240824715,0,12239
H,Hx_05_22_target1_visible,Hx_05_22,9,test,black_book_1,visible,native,True,5,8.550580722279847,0.012745004303037766,1,12239
H,Hx_05_22_target1_visible,Hx_05_22,9,test,black_book_1,visible,best,True,5,8.762288315221667,0.016379594614295445,1,12239
H,Hx_05_22_target1_hidden,Hx_05_22,9,test,black_book_1,hidden,native,False,5,8.392306989990175,0.0005192232135439456,1,12239
H,Hx_05_22_target1_hidden,Hx_05_22,9,test,black_book_1,hidden,best,True,5,9.250485315918922,0.019955624653680365,1,12239
H,Hx_05_26_target0_visible,Hx_05_26,9,test,black_book_1,visible,native,True,5,8.379528597928584,-0.002615826732812826,0,12243
H,Hx_05_26_target0_visible,Hx_05_26,9,test,black_book_1,visible,best,True,5,8.5785658294335,-0.00880217457055707,0,12243
H,Hx_05_26_target0_hidden,Hx_05_26,9,test,black_book_1,hidden,native,False,5,8.495156195946038,-0.0007190157388024254,0,12243
H,Hx_05_26_target0_hidden,Hx_05_26,9,test,black_book_1,hidden,best,True,5,8.571145144291222,-0.007614252772610963,0,12243
H,Hx_05_26_target1_visible,Hx_05_26,9,test,black_book_1,visible,native,True,5,8.433122642338276,0.009757377067358797,1,12243
H,Hx_05_26_target1_visible,Hx_05_26,9,test,black_book_1,visible,best,True,5,8.622874747030437,0.004803141001060857,1,12243
H,Hx_05_26_target1_hidden,Hx_05_26,9,test,black_book_1,hidden,native,False,5,8.569618799723685,-0.00019605680557860383,1,12243
H,Hx_05_26_target1_hidden,Hx_05_26,9,test,black_book_1,hidden,best,False,5,8.593513078056276,0.0015197263358733282,1,12243
H,Hx_05_34_target0_visible,Hx_05_34,9,test,black_book_1,visible,native,True,5,8.374931397847831,-0.0037022644106095015,0,12251
H,Hx_05_34_target0_visible,Hx_05_34,9,test,black_book_1,visible,best,True,5,8.52345459535718,-0.010290847453177238,0,12251
H,Hx_05_34_target0_hidden,Hx_05_34,9,test,black_book_1,hidden,native,True,5,8.413459139876068,-0.004435131506005219,0,12251
H,Hx_05_34_target0_hidden,Hx_05_34,9,test,black_book_1,hidden,best,True,5,8.566046623513103,-0.009962785642931432,0,12251
