gpu,kind,layout,task_index,target_object,passed,reasons
0,H,Hx_00_22,13,akita_black_bowl_1,False,non_target_physics_equal; hidden_inputs_identical; actual_past_controls_identical; target_drift_within_one_cm
0,H,Hx_00_26,13,akita_black_bowl_1,True,
0,H,Hx_00_34,13,akita_black_bowl_1,True,
0,H,Hx_00_44,13,akita_black_bowl_1,False,non_target_physics_equal
0,H,Hx_05_22,9,black_book_1,True,
0,H,Hx_05_26,9,black_book_1,True,
0,H,Hx_05_34,9,black_book_1,True,
0,H,Hx_05_44,9,black_book_1,True,
0,P,Px_00_22,13,akita_black_bowl_1,True,
0,P,Px_00_26,13,akita_black_bowl_1,True,
0,P,Px_00_34,13,akita_black_bowl_1,True,
0,P,Px_00_44,13,akita_black_bowl_1,True,
0,P,Px_05_22,9,black_book_1,True,
0,P,Px_05_26,9,black_book_1,True,
0,P,Px_05_34,9,black_book_1,True,
0,P,Px_05_44,9,black_book_1,True,
0,S,Sx_00_22,0,,True,
0,S,Sx_00_26,0,,True,
0,S,Sx_00_34,0,,True,
0,S,Sx_00_44,0,,True,
0,S,Sx_05_22,5,,True,
0,S,Sx_05_26,5,,True,
0,S,Sx_05_34,5,,True,
0,S,Sx_05_44,5,,True,
0,S,Sx_10_22,10,,True,
0,S,Sx_10_26,10,,True,
0,S,Sx_10_34,10,,True,
0,S,Sx_10_44,10,,True,
0,S,Sx_15_22,15,,True,
0,S,Sx_15_26,15,,True,
0,S,Sx_15_34,15,,True,
0,S,Sx_15_44,15,,True,
0,S,Sx_20_22,20,,True,
0,S,Sx_20_26,20,,True,
0,S,Sx_20_34,20,,True,
0,S,Sx_20_44,20,,True,
0,S,Sx_25_22,25,,True,
0,S,Sx_25_26,25,,True,
0,S,Sx_25_34,25,,True,
0,S,Sx_25_44,25,,True,
0,S,Sx_30_22,30,,True,
0,S,Sx_30_26,30,,True,
0,S,Sx_30_34,30,,True,
0,S,Sx_30_44,30,,True,
0,S,Sx_35_22,35,,True,
0,S,Sx_35_26,35,,True,
0,S,Sx_35_34,35,,True,
0,S,Sx_35_44,35,,True,
4,H,Hx_01_22,17,wine_bottle_1,False,non_target_physics_equal; hidden_inputs_identical; actual_past_controls_identical; target_drift_within_one_cm
4,H,Hx_01_26,17,wine_bottle_1,False,non_target_physics_equal; hidden_inputs_identical; actual_past_controls_identical; target_drift_within_one_cm
4,H,Hx_01_34,17,wine_bottle_1,False,fixture_construction_failed
4,H,Hx_01_44,17,wine_bottle_1,False,non_target_physics_equal; hidden_inputs_identical; actual_past_controls_identical
4,P,Px_01_22,17,wine_bottle_1,True,
4,P,Px_01_26,17,wine_bottle_1,True,
4,P,Px_01_34,17,wine_bottle_1,True,
4,P,Px_01_44,17,wine_bottle_1,True,
4,S,Sx_01_22,1,,True,
4,S,Sx_01_26,1,,True,
4,S,Sx_01_34,1,,True,
4,S,Sx_01_44,1,,True,
4,S,Sx_06_22,6,,True,
4,S,Sx_06_26,6,,True,
4,S,Sx_06_34,6,,True,
4,S,Sx_06_44,6,,True,
4,S,Sx_11_22,11,,True,
4,S,Sx_11_26,11,,True,
