kind,our_training_split,condition,policy,correct_or_successful,episodes,independent_layouts,tasks,macro_task_rate,scope_complete
H,test,hidden,best,13,14,7,2,0.9375,True
H,test,hidden,native,1,14,7,2,0.0625,True
H,test,visible,best,12,14,7,2,0.875,True
H,test,visible,native,14,14,7,2,1.0,True
H,train,hidden,best,12,12,6,2,1.0,True
H,train,hidden,native,6,12,6,2,0.5,True
H,train,visible,best,12,12,6,2,1.0,True
H,train,visible,native,12,12,6,2,1.0,True
P,test,minus_y,best,4,4,4,1,1.0,True
P,test,minus_y,native,4,4,4,1,1.0,True
P,test,normal,best,4,4,4,1,1.0,True
P,test,normal,native,3,4,4,1,0.75,True
P,test,plus_y,best,4,4,4,1,1.0,True
P,test,plus_y,native,4,4,4,1,1.0,True
P,train,minus_y,best,7,8,8,2,0.875,True
P,train,minus_y,native,7,8,8,2,0.875,True
P,train,normal,best,8,8,8,2,1.0,True
P,train,normal,native,8,8,8,2,1.0,True
P,train,plus_y,best,8,8,8,2,1.0,True
P,train,plus_y,native,8,8,8,2,1.0,True
P,validation,minus_y,best,4,4,4,1,1.0,True
P,validation,minus_y,native,4,4,4,1,1.0,True
P,validation,normal,best,4,4,4,1,1.0,True
P,validation,normal,native,4,4,4,1,1.0,True
P,validation,plus_y,best,4,4,4,1,1.0,True
P,validation,plus_y,native,4,4,4,1,1.0,True
S,test,camera,best,10,16,16,4,0.625,True
S,test,camera,native,11,16,16,4,0.6875,True
S,test,combined,best,11,16,16,4,0.6875,True
S,test,combined,native,11,16,16,4,0.6875,True
S,test,lighting,best,14,16,16,4,0.875,True
S,test,lighting,native,11,16,16,4,0.6875,True
S,test,normal,best,14,16,16,4,0.875,True
S,test,normal,native,13,16,16,4,0.8125,True
S,train,camera,best,115,128,128,32,0.8984375,True
S,train,camera,native,104,128,128,32,0.8125,True
S,train,combined,best,114,128,128,32,0.890625,True
S,train,combined,native,103,128,128,32,0.8046875,True
S,train,lighting,best,126,128,128,32,0.984375,True
S,train,lighting,native,124,128,128,32,0.96875,True
S,train,normal,best,123,128,128,32,0.9609375,True
S,train,normal,native,126,128,128,32,0.984375,True
S,validation,camera,best,13,16,16,4,0.8125,True
S,validation,camera,native,11,16,16,4,0.6875,True
S,validation,combined,best,13,16,16,4,0.8125,True
S,validation,combined,native,10,16,16,4,0.625,True
S,validation,lighting,best,15,16,16,4,0.9375,True
S,validation,lighting,native,14,16,16,4,0.875,True
S,validation,normal,best,14,16,16,4,0.875,True
S,validation,normal,native,15,16,16,4,0.9375,True
