kind,condition,split,episodes_per_model,tasks,layouts,native_successes,best_successes,native_rate,best_rate,paired_macro_task_delta,exploratory_ci95
S,all,all,640,40,160,553,582,0.8640625,0.909375,0.0453125,"[0.0, 0.0921875]"
S,normal,all,160,40,160,154,151,0.9625,0.94375,-0.01875,"[-0.075, 0.0375]"
S,camera,all,160,40,160,126,138,0.7875,0.8625,0.075,"[-0.00625, 0.1625]"
S,lighting,all,160,40,160,149,155,0.93125,0.96875,0.0375,"[-0.025, 0.10625]"
S,combined,all,160,40,160,124,138,0.775,0.8625,0.0875,"[0.0, 0.175]"
S,all,train,512,32,128,457,478,0.892578125,0.93359375,0.041015625,"[0.001953125, 0.0859375]"
S,all,validation,64,4,16,50,55,0.78125,0.859375,0.078125,"[-0.0625, 0.21875]"
S,all,test,64,4,16,46,49,0.71875,0.765625,0.046875,"[-0.21875, 0.296875]"
P,all,all,48,4,16,46,47,0.9583333333333334,0.9791666666666666,0.020833333333333332,"[0.0, 0.08333333333333333]"
P,normal,all,16,4,16,15,16,0.9375,1.0,0.0625,"[0.0, 0.25]"
P,minus_y,all,16,4,16,15,15,0.9375,0.9375,0.0,"[0.0, 0.0]"
P,plus_y,all,16,4,16,16,16,1.0,1.0,0.0,"[0.0, 0.0]"
H,visible,all,26,4,13,26,24,1.0,0.9230769230769231,-0.0625,"[-0.21875, 0.0]"
H,hidden,all,26,4,13,7,25,0.2692307692307692,0.9615384615384616,0.6875,"[0.5, 0.90625]"
