kind,task_index,source,our_training_split,target_object,condition,policy,correct_or_successful,episodes,scope_complete
H,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,hidden,best,7,8,True
H,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,hidden,native,1,8,True
H,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,visible,best,6,8,True
H,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,visible,native,8,8,True
H,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,hidden,best,4,4,True
H,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,hidden,native,2,4,True
H,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,visible,best,4,4,True
H,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,visible,native,4,4,True
H,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,milk_1,hidden,best,8,8,True
H,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,milk_1,hidden,native,4,8,True
H,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,milk_1,visible,best,8,8,True
H,26,libero_object/pick_up_the_milk_and_place_it_in_the_basket_demo,train,milk_1,visible,native,8,8,True
H,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,orange_juice_1,hidden,best,6,6,True
H,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,orange_juice_1,hidden,native,0,6,True
H,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,orange_juice_1,visible,best,6,6,True
H,27,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo,test,orange_juice_1,visible,native,6,6,True
P,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,minus_y,best,4,4,True
P,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,minus_y,native,4,4,True
P,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,normal,best,4,4,True
P,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,normal,native,3,4,True
P,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,plus_y,best,4,4,True
P,9,libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo,test,black_book_1,plus_y,native,4,4,True
P,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,minus_y,best,4,4,True
P,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,minus_y,native,4,4,True
P,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,normal,best,4,4,True
P,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,normal,native,4,4,True
P,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,plus_y,best,4,4,True
P,13,libero_goal/put_the_bowl_on_the_plate_demo,train,akita_black_bowl_1,plus_y,native,4,4,True
P,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,wine_bottle_1,minus_y,best,3,4,True
P,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,wine_bottle_1,minus_y,native,3,4,True
P,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,wine_bottle_1,normal,best,4,4,True
P,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,wine_bottle_1,normal,native,4,4,True
P,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,wine_bottle_1,plus_y,best,4,4,True
P,17,libero_goal/put_the_wine_bottle_on_the_rack_demo,train,wine_bottle_1,plus_y,native,4,4,True
P,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,cream_cheese_1,minus_y,best,4,4,True
P,24,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo,validation,cream_cheese_1,minus_y,native,4,4,True
