policy,case_id,task_index,source,our_training_split,condition,episode,manual_seed,success,control_steps,max_steps,penalized_horizon_fraction,wall_seconds,peak_allocated_gib
native,S_00_30_normal,0,data/libero_raw/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,validation,normal,demo_30,1247,True,325,500,0.65,41.35246016085148,12.52603006362915
native,S_00_30_camera,0,data/libero_raw/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,validation,camera,demo_30,1247,True,390,500,0.78,49.05485602281988,12.52603006362915
native,S_00_30_lighting,0,data/libero_raw/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,validation,lighting,demo_30,1247,True,225,500,0.45,30.572748016566038,12.52603006362915
native,S_00_30_combined,0,data/libero_raw/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,validation,combined,demo_30,1247,True,325,500,0.65,42.46255291532725,12.52603006362915
native,S_00_40_normal,0,data/libero_raw/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,validation,normal,demo_40,1257,True,200,500,0.4,27.885100084356964,12.52603006362915
native,S_00_40_camera,0,data/libero_raw/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,validation,camera,demo_40,1257,True,215,500,0.43,29.839103937149048,12.52603006362915
native,S_00_40_lighting,0,data/libero_raw/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,validation,lighting,demo_40,1257,True,220,500,0.44,30.01065801922232,12.52603006362915
native,S_00_40_combined,0,data/libero_raw/libero_10/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,validation,combined,demo_40,1257,True,225,500,0.45,30.808695514686406,12.52603006362915
native,S_01_30_normal,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,normal,demo_30,2247,True,420,500,0.84,52.35979273356497,12.52603006362915
native,S_01_30_camera,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,camera,demo_30,2247,True,375,500,0.75,48.0566788604483,12.52603006362915
native,S_01_30_lighting,1,data/libero_raw/libero_10/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,test,lighting,demo_30,2247,True,335,500,0.67,43.140643291175365,12.52603006362915
