case_id,our_training_split,yaw_degrees,pitch_degrees,light_scale,manual_seed,agent_rgb_mean,agent_rgb_mae_vs_normal,wrist_rgb_mae_vs_normal,agent_valid_depth_fraction
S_00_30_normal,validation,0,0,1.0,1247,128.89603169759116,0.0,0.0,1.0
S_00_30_camera,validation,-20,10,1.0,1247,120.2678731282552,45.32674662272135,0.0,1.0
S_00_30_lighting,validation,0,0,0.55,1247,124.21622721354167,4.6798044840494795,3.668604532877604,1.0
S_00_30_combined,validation,-20,10,0.55,1247,114.9457499186198,46.11662292480469,3.668604532877604,1.0
S_00_40_normal,validation,0,0,1.0,1257,127.88299560546875,0.0,0.0,1.0
S_00_40_camera,validation,20,-10,1.0,1257,142.07929484049478,43.933064778645836,0.0,1.0
S_00_40_lighting,validation,0,0,0.55,1257,123.43303934733073,4.4499562581380205,3.3911895751953125,1.0
S_00_40_combined,validation,20,-10,0.55,1257,138.27291870117188,44.13042195638021,3.3911895751953125,1.0
S_01_30_normal,test,0,0,1.0,2247,116.08849589029948,0.0,0.0,1.0
S_01_30_camera,test,-20,10,1.0,2247,111.87158711751302,36.091206868489586,0.0,1.0
S_01_30_lighting,test,0,0,0.55,2247,112.03088887532552,4.057607014973958,5.4532114664713545,1.0
S_01_30_combined,test,-20,10,0.55,2247,107.811279296875,36.32624816894531,5.4532114664713545,1.0
S_01_40_normal,test,0,0,1.0,2257,116.53012593587239,0.0,0.0,1.0
S_01_40_camera,test,20,-10,1.0,2257,128.6656290690104,41.06529235839844,0.0,1.0
S_01_40_lighting,test,0,0,0.55,2257,112.46349589029948,4.066630045572917,5.036163330078125,1.0
S_01_40_combined,test,20,-10,0.55,2257,123.87860616048177,40.378448486328125,5.036163330078125,1.0
S_02_30_normal,test,0,0,1.0,3247,130.63995869954428,0.0,0.0,1.0
S_02_30_camera,test,20,-10,1.0,3247,142.32506306966147,34.73282368977865,0.0,1.0
S_02_30_lighting,test,0,0,0.55,3247,128.0850830078125,2.554875691731771,3.275421142578125,1.0
S_02_30_combined,test,20,-10,0.55,3247,139.80912272135416,34.18302917480469,3.275421142578125,1.0
S_02_40_normal,test,0,0,1.0,3257,129.78229268391928,0.0,0.0,1.0
S_02_40_camera,test,-20,10,1.0,3257,122.89604187011719,36.50306193033854,0.0,1.0
S_02_40_lighting,test,0,0,0.55,3257,127.41289774576823,2.3693949381510415,2.8297119140625,1.0
S_02_40_combined,test,-20,10,0.55,3257,119.92753601074219,36.169036865234375,2.8297119140625,1.0
S_03_30_normal,validation,0,0,1.0,4247,69.5746561686198,0.0,0.0,1.0
S_03_30_camera,validation,-20,10,1.0,4247,77.13795471191406,34.4987538655599,0.0,1.0
S_03_30_lighting,validation,0,0,0.55,4247,57.39453633626302,12.180119832356771,11.486272176106771,1.0
S_03_30_combined,validation,-20,10,0.55,4247,66.74693298339844,38.30191548665365,11.486272176106771,1.0
S_03_40_normal,validation,0,0,1.0,4257,69.18518575032552,0.0,0.0,1.0
S_03_40_camera,validation,20,-10,1.0,4257,71.88770548502605,28.133641560872395,0.0,1.0
S_03_40_lighting,validation,0,0,0.55,4257,57.0143076578776,12.170878092447916,12.038116455078125,1.0
S_03_40_combined,validation,20,-10,0.55,4257,57.32223002115885,28.785135904947918,12.038116455078125,1.0
S_04_30_normal,validation,0,0,1.0,5247,68.92238871256511,0.0,0.0,1.0
S_04_30_camera,validation,-20,10,1.0,5247,76.74630228678386,34.045511881510414,0.0,1.0
S_04_30_lighting,validation,0,0,0.55,5247,56.893513997395836,12.028874715169271,11.13250732421875,1.0
S_04_30_combined,validation,-20,10,0.55,5247,66.40805562337239,37.81718953450521,11.13250732421875,1.0
S_04_40_normal,validation,0,0,1.0,5257,68.46693929036458,0.0,0.0,1.0
S_04_40_camera,validation,20,-10,1.0,5257,71.77426656087239,28.394556681315105,0.0,1.0
S_04_40_lighting,validation,0,0,0.55,5257,56.43285115559896,12.034088134765625,11.889612833658854,1.0
S_04_40_combined,validation,20,-10,0.55,5257,57.26427714029948,28.730728149414062,11.889612833658854,1.0
S_05_30_normal,test,0,0,1.0,6247,74.5848388671875,0.0,0.0,1.0
S_05_30_camera,test,20,-10,1.0,6247,74.71204121907552,26.90655008951823,0.0,1.0
S_05_30_lighting,test,0,0,0.55,6247,64.15033467610677,10.434504191080729,12.3211669921875,1.0
S_05_30_combined,test,20,-10,0.55,6247,62.85401407877604,27.152567545572918,12.3211669921875,1.0
S_05_40_normal,test,0,0,1.0,6257,75.17969258626302,0.0,0.0,1.0
S_05_40_camera,test,20,-10,1.0,6257,75.35354105631511,26.6318359375,0.0,1.0
S_05_40_lighting,test,0,0,0.55,6257,64.61949157714844,10.560201009114584,14.238449096679688,1.0
S_05_40_combined,test,20,-10,0.55,6257,63.41463724772135,27.011138916015625,14.238449096679688,1.0
S_06_30_normal,validation,0,0,1.0,7247,138.90533447265625,0.0,0.0,1.0
S_06_30_camera,validation,-20,10,1.0,7247,125.9259745279948,38.362640380859375,0.0,1.0
S_06_30_lighting,validation,0,0,0.55,7247,105.74324544270833,33.162089029947914,27.822789510091145,1.0
S_06_30_combined,validation,-20,10,0.55,7247,99.36418151855469,58.08279927571615,27.822789510091145,1.0
S_06_40_normal,validation,0,0,1.0,7257,138.40350341796875,0.0,0.0,1.0
S_06_40_camera,validation,20,-10,1.0,7257,154.90406290690103,30.300455729166668,0.0,1.0
S_06_40_lighting,validation,0,0,0.55,7257,105.33436584472656,33.06913757324219,28.060841878255207,1.0
S_06_40_combined,validation,20,-10,0.55,7257,117.52450561523438,31.949350992838543,28.060841878255207,1.0
S_07_30_normal,test,0,0,1.0,8247,137.8146006266276,0.0,0.0,1.0
S_07_30_camera,test,-20,10,1.0,8247,125.03462219238281,38.513946533203125,0.0,1.0
S_07_30_lighting,test,0,0,0.55,8247,104.98434956868489,32.83025105794271,28.296066284179688,1.0
S_07_30_combined,test,-20,10,0.55,8247,98.8587137858073,58.04767354329427,28.296066284179688,1.0
S_07_40_normal,test,0,0,1.0,8257,138.6667938232422,0.0,0.0,1.0
S_07_40_camera,test,20,-10,1.0,8257,155.06421407063803,31.552947998046875,0.0,1.0
S_07_40_lighting,test,0,0,0.55,8257,105.63570149739583,33.03109232584635,27.78533426920573,1.0
S_07_40_combined,test,20,-10,0.55,8257,117.66713968912761,32.8902587890625,27.78533426920573,1.0
S_08_30_normal,train,0,0,1.0,9247,118.09967549641927,0.0,0.0,1.0
S_08_30_camera,train,-20,10,1.0,9247,113.55936686197917,25.79352315266927,0.0,1.0
S_08_30_lighting,train,0,0,0.55,9247,98.3036397298177,19.796035766601562,19.290573120117188,1.0
S_08_30_combined,train,-20,10,0.55,9247,95.57374064127605,38.71833801269531,19.290573120117188,1.0
S_08_40_normal,train,0,0,1.0,9257,117.0889892578125,0.0,0.0,1.0
S_08_40_camera,train,20,-10,1.0,9257,119.23565165201823,29.95013936360677,0.0,1.0
S_08_40_lighting,train,0,0,0.55,9257,97.55082702636719,19.538162231445312,18.70708719889323,1.0
S_08_40_combined,train,20,-10,0.55,9257,98.61941528320312,36.59148152669271,18.70708719889323,1.0
S_09_30_normal,train,0,0,1.0,10247,117.15807596842448,0.0,0.0,1.0
S_09_30_camera,train,20,-10,1.0,10247,119.39792378743489,30.125203450520832,0.0,1.0
S_09_30_lighting,train,0,0,0.55,10247,97.59233093261719,19.565745035807293,18.967178344726562,1.0
S_09_30_combined,train,20,-10,0.55,10247,98.74812316894531,36.67755126953125,18.967178344726562,1.0
S_09_40_normal,train,0,0,1.0,10257,118.15759785970052,0.0,0.0,1.0
S_09_40_camera,train,20,-10,1.0,10257,120.2435811360677,30.230005900065105,0.0,1.0
S_09_40_lighting,train,0,0,0.55,10257,98.34291076660156,19.814687093098957,19.270548502604168,1.0
S_09_40_combined,train,20,-10,0.55,10257,99.43112182617188,36.88074239095052,19.270548502604168,1.0
S_10_30_normal,train,0,0,1.0,11247,138.99822489420572,0.0,0.0,1.0
S_10_30_camera,train,20,-10,1.0,11247,155.24907938639322,30.527974446614582,0.0,1.0
S_10_30_lighting,train,0,0,0.55,11247,105.87591552734375,33.12230936686198,28.540537516276043,1.0
S_10_30_combined,train,20,-10,0.55,11247,117.8240966796875,32.11170959472656,28.540537516276043,1.0
S_10_40_normal,train,0,0,1.0,11257,138.27276102701822,0.0,0.0,1.0
S_10_40_camera,train,20,-10,1.0,11257,154.64654032389322,30.709716796875,0.0,1.0
S_10_40_lighting,train,0,0,0.55,11257,105.29903666178386,32.973724365234375,29.633717854817707,1.0
S_10_40_combined,train,20,-10,0.55,11257,117.37467447916667,32.12731424967448,29.633717854817707,1.0
S_11_30_normal,train,0,0,1.0,12247,118.78538513183594,0.0,0.0,1.0
S_11_30_camera,train,-20,10,1.0,12247,115.46611022949219,23.041717529296875,0.0,1.0
S_11_30_lighting,train,0,0,0.55,12247,99.32594299316406,19.459442138671875,20.768712361653645,1.0
S_11_30_combined,train,-20,10,0.55,12247,97.63991292317708,35.73430887858073,20.768712361653645,1.0
S_11_40_normal,train,0,0,1.0,12257,119.74819437662761,0.0,0.0,1.0
S_11_40_camera,train,-20,10,1.0,12257,116.23696390787761,23.586415608723957,0.0,1.0
S_11_40_lighting,train,0,0,0.55,12257,100.06890869140625,19.679285685221355,20.565404256184895,1.0
S_11_40_combined,train,-20,10,0.55,12257,98.18599955240886,36.400858561197914,20.565404256184895,1.0
