our_training_split,condition,policy,successes,episodes,tasks,layouts,mean_penalized_horizon_fraction
train,normal,native,8,8,4,8,0.48125
train,normal,best,8,8,4,8,0.42083333333333334
train,camera,native,5,8,4,8,0.6520833333333333
train,camera,best,6,8,4,8,0.5645833333333334
train,lighting,native,8,8,4,8,0.41875
train,lighting,best,8,8,4,8,0.43333333333333335
train,combined,native,7,8,4,8,0.58125
train,combined,best,6,8,4,8,0.5833333333333334
validation,normal,native,8,8,4,8,0.5387500000000001
validation,normal,best,8,8,4,8,0.51
validation,camera,native,7,8,4,8,0.58875
validation,camera,best,8,8,4,8,0.5208333333333334
validation,lighting,native,7,8,4,8,0.5866666666666667
validation,lighting,best,7,8,4,8,0.5625
validation,combined,native,7,8,4,8,0.5904166666666666
validation,combined,best,8,8,4,8,0.5458333333333333
test,normal,native,7,8,4,8,0.59125
test,normal,best,6,8,4,8,0.71625
test,camera,native,6,8,4,8,0.6579166666666667
test,camera,best,6,8,4,8,0.6216666666666667
test,lighting,native,7,8,4,8,0.5587500000000001
test,lighting,best,6,8,4,8,0.6837500000000001
test,combined,native,7,8,4,8,0.59125
test,combined,best,7,8,4,8,0.6100000000000001
