policy,case_id,layout,task,condition,success,control_steps,penalized_steps,sampled_eef_path_m_lower_bound,translation_control_saturation_fraction,policy_latency_median_s,peak_allocated_gib,manual_seed
native,G_0_10_normal,G_0_10,drawer,normal,True,145,145,0.5963042378425598,0.0,0.4218894951045513,12.52603006362915,227
native,G_0_10_shifted,G_0_10,drawer,shifted,True,135,135,0.5761629939079285,0.0,0.42094964254647493,12.52603006362915,227
native,G_0_11_normal,G_0_11,drawer,normal,True,120,120,0.5587534308433533,0.0,0.4254454639740288,12.52603006362915,228
native,G_0_11_shifted,G_0_11,drawer,shifted,True,120,120,0.5167407393455505,0.0,0.42110768565908074,12.52603006362915,228
native,G_0_12_normal,G_0_12,drawer,normal,True,130,130,0.5524722933769226,0.0,0.4245658153668046,12.52603006362915,229
native,G_0_12_shifted,G_0_12,drawer,shifted,False,300,300,0.3221572935581207,0.0,0.4229172938503325,12.52603006362915,229
native,G_0_13_normal,G_0_13,drawer,normal,True,140,140,0.5949432253837585,0.0,0.42100578686222434,12.52603006362915,230
native,G_0_13_shifted,G_0_13,drawer,shifted,True,130,130,0.505275547504425,0.0,0.42137396801263094,12.52603006362915,230
native,G_0_14_normal,G_0_14,drawer,normal,True,130,130,0.6137941479682922,0.0,0.42316939728334546,12.52603006362915,231
native,G_0_14_shifted,G_0_14,drawer,shifted,True,115,115,0.5578697919845581,0.0,0.42276381701231003,12.52603006362915,231
native,G_0_15_normal,G_0_15,drawer,normal,True,130,130,0.5904450416564941,0.0,0.4226519288495183,12.52603006362915,232
native,G_0_15_shifted,G_0_15,drawer,shifted,True,125,125,0.558260977268219,0.0,0.419502560980618,12.52603006362915,232
native,G_0_16_normal,G_0_16,drawer,normal,False,300,300,0.3576047420501709,0.0,0.42388993967324495,12.52603006362915,233
native,G_0_16_shifted,G_0_16,drawer,shifted,True,135,135,0.5506718754768372,0.0,0.42133602406829596,12.52603006362915,233
native,G_0_17_normal,G_0_17,drawer,normal,True,125,125,0.5445341467857361,0.0,0.42148637026548386,12.52603006362915,234
native,G_0_17_shifted,G_0_17,drawer,shifted,True,225,225,0.5461573600769043,0.0,0.4185316637158394,12.52603006362915,234
native,G_0_18_normal,G_0_18,drawer,normal,True,130,130,0.6405688524246216,0.0,0.42055481765419245,12.52603006362915,235
native,G_0_18_shifted,G_0_18,drawer,shifted,True,145,145,0.6276810765266418,0.0,0.4207713967189193,12.52603006362915,235
native,G_0_19_normal,G_0_19,drawer,normal,True,130,130,0.5823038816452026,0.0,0.42041475558653474,12.52603006362915,236
native,G_0_19_shifted,G_0_19,drawer,shifted,True,130,130,0.5712918043136597,0.0,0.42219348531216383,12.52603006362915,236
native,G_1_10_normal,G_1_10,bowl_on_plate,normal,True,85,85,0.7417998909950256,0.0,0.4244420612230897,12.52603006362915,1227
native,G_1_10_shifted,G_1_10,bowl_on_plate,shifted,True,180,180,1.0844972133636475,0.0,0.4213937986642122,12.52603006362915,1227
native,G_1_11_normal,G_1_11,bowl_on_plate,normal,True,80,80,0.667165219783783,0.0,0.4204447125084698,12.52603006362915,1228
native,G_1_11_shifted,G_1_11,bowl_on_plate,shifted,True,75,75,0.660729169845581,0.0,0.41734389681369066,12.52603006362915,1228
native,G_1_12_normal,G_1_12,bowl_on_plate,normal,True,75,75,0.704292893409729,0.0,0.41878187470138073,12.52603006362915,1229
native,G_1_12_shifted,G_1_12,bowl_on_plate,shifted,True,85,85,0.7599708437919617,0.0,0.42034297715872526,12.52603006362915,1229
native,G_1_13_normal,G_1_13,bowl_on_plate,normal,True,80,80,0.6870501041412354,0.0,0.42261662939563394,12.52603006362915,1230
native,G_1_13_shifted,G_1_13,bowl_on_plate,shifted,True,80,80,0.6914863586425781,0.0,0.4253182662650943,12.52603006362915,1230
native,G_1_14_normal,G_1_14,bowl_on_plate,normal,True,85,85,0.6995152235031128,0.0,0.42268851678818464,12.52603006362915,1231
native,G_1_14_shifted,G_1_14,bowl_on_plate,shifted,True,75,75,0.6549108028411865,0.0,0.42556864116340876,12.52603006362915,1231
native,G_1_15_normal,G_1_15,bowl_on_plate,normal,True,75,75,0.6813831329345703,0.0,0.42106638476252556,12.52603006362915,1232
native,G_1_15_shifted,G_1_15,bowl_on_plate,shifted,True,70,70,0.6776094436645508,0.0,0.4205590449273586,12.52603006362915,1232
native,G_1_16_normal,G_1_16,bowl_on_plate,normal,True,70,70,0.6483574509620667,0.0,0.4231955329887569,12.52603006362915,1233
native,G_1_16_shifted,G_1_16,bowl_on_plate,shifted,True,80,80,0.6839430928230286,0.0,0.42213334096595645,12.52603006362915,1233
native,G_1_17_normal,G_1_17,bowl_on_plate,normal,True,75,75,0.6858543753623962,0.0,0.41981251258403063,12.52603006362915,1234
native,G_1_17_shifted,G_1_17,bowl_on_plate,shifted,True,70,70,0.6362960934638977,0.0,0.4237875835970044,12.52603006362915,1234
native,G_1_18_normal,G_1_18,bowl_on_plate,normal,True,75,75,0.6899363398551941,0.0,0.41778672207146883,12.52603006362915,1235
native,G_1_18_shifted,G_1_18,bowl_on_plate,shifted,True,80,80,0.692962646484375,0.0,0.41776374354958534,12.52603006362915,1235
native,G_1_19_normal,G_1_19,bowl_on_plate,normal,True,80,80,0.7126465439796448,0.0,0.4203692963346839,12.52603006362915,1236
native,G_1_19_shifted,G_1_19,bowl_on_plate,shifted,True,85,85,0.7309401631355286,0.0,0.4198530623689294,12.52603006362915,1236
best,G_0_10_normal,G_0_10,drawer,normal,True,210,210,0.6340124607086182,0.0,0.5896020163781941,12.534889698028564,227
best,G_0_10_shifted,G_0_10,drawer,shifted,False,300,300,1.3104032278060913,0.0,0.6028220993466675,12.534889698028564,227
best,G_0_11_normal,G_0_11,drawer,normal,True,150,150,0.5634250044822693,0.0,0.6073603560216725,12.534889698028564,228
best,G_0_11_shifted,G_0_11,drawer,shifted,True,160,160,0.5410640239715576,0.0,0.6029089502990246,12.534889698028564,228
best,G_0_12_normal,G_0_12,drawer,normal,True,130,130,0.5687474012374878,0.0,0.6100335628725588,12.534889698028564,229
best,G_0_12_shifted,G_0_12,drawer,shifted,True,125,125,0.5443007946014404,0.0,0.6022585947066545,12.534889698028564,229
best,G_0_13_normal,G_0_13,drawer,normal,True,135,135,0.5177486538887024,0.0,0.6059350883588195,12.534889698028564,230
best,G_0_13_shifted,G_0_13,drawer,shifted,True,115,115,0.5330551266670227,0.0,0.6038851588964462,12.534889698028564,230
best,G_0_14_normal,G_0_14,drawer,normal,True,125,125,0.5824030041694641,0.0,0.6052644848823547,12.534889698028564,231
best,G_0_14_shifted,G_0_14,drawer,shifted,False,300,300,1.1875144243240356,0.0,0.6002397327683866,12.534889698028564,231
best,G_0_15_normal,G_0_15,drawer,normal,True,160,160,0.57356858253479,0.0,0.6062692543491721,12.534889698028564,232
best,G_0_15_shifted,G_0_15,drawer,shifted,True,140,140,0.5757056474685669,0.0,0.613382657058537,12.534889698028564,232
best,G_0_16_normal,G_0_16,drawer,normal,True,135,135,0.57090163230896,0.0,0.6212470922619104,12.534889698028564,233
best,G_0_16_shifted,G_0_16,drawer,shifted,True,135,135,0.5854848623275757,0.0,0.6237669754773378,12.534889698028564,233
best,G_0_17_normal,G_0_17,drawer,normal,True,140,140,0.5822921395301819,0.0,0.612038807477802,12.534889698028564,234
best,G_0_17_shifted,G_0_17,drawer,shifted,True,155,155,0.5339178442955017,0.0,0.6185641493648291,12.534889698028564,234
best,G_0_18_normal,G_0_18,drawer,normal,True,105,105,0.5542071461677551,0.0,0.6206011576578021,12.5348801612854,235
best,G_0_18_shifted,G_0_18,drawer,shifted,True,130,130,0.603329598903656,0.0,0.6175432489253581,12.534889698028564,235
best,G_0_19_normal,G_0_19,drawer,normal,True,115,115,0.5208542346954346,0.0,0.6173712909221649,12.534889698028564,236
best,G_0_19_shifted,G_0_19,drawer,shifted,True,125,125,0.5578856468200684,0.0,0.6152538908645511,12.534889698028564,236
best,G_1_10_normal,G_1_10,bowl_on_plate,normal,True,90,90,0.7927240133285522,0.0,0.6175812468864024,12.53425645828247,1227
best,G_1_10_shifted,G_1_10,bowl_on_plate,shifted,True,95,95,0.7866588830947876,0.0,0.6210555518046021,12.53425645828247,1227
best,G_1_11_normal,G_1_11,bowl_on_plate,normal,True,85,85,0.6773539781570435,0.0,0.6231032581999898,12.53425645828247,1228
best,G_1_11_shifted,G_1_11,bowl_on_plate,shifted,True,75,75,0.682377278804779,0.0,0.6153516005724669,12.53425645828247,1228
best,G_1_12_normal,G_1_12,bowl_on_plate,normal,True,230,230,1.1791484355926514,0.0,0.6149704474955797,12.534265995025635,1229
best,G_1_12_shifted,G_1_12,bowl_on_plate,shifted,True,95,95,0.8137835264205933,0.0,0.6156911831349134,12.53425645828247,1229
best,G_1_13_normal,G_1_13,bowl_on_plate,normal,True,85,85,0.7033447623252869,0.0,0.6201862310990691,12.53425645828247,1230
