policy,case_id,layout,condition,target_index,correct,chosen_index,axis_displacement_m,target_aligned_displacement_m,policy_input_steps,manual_seed
native,H_12_target0_visible,H_12,visible,0,True,0,-0.003888846835331243,0.003888846835331243,[40],2229
native,H_12_target0_hidden,H_12,hidden,0,True,0,-0.01069845232626658,0.01069845232626658,[40],2229
native,H_12_target1_visible,H_12,visible,1,True,1,0.015654127710731304,0.015654127710731304,[40],2229
native,H_12_target1_hidden,H_12,hidden,1,False,0,-0.01069845232626658,-0.01069845232626658,[40],2229
native,H_13_target0_visible,H_13,visible,0,True,0,-0.005860825756250463,0.005860825756250463,[40],2230
native,H_13_target0_hidden,H_13,hidden,0,True,0,-0.013236601107604941,0.013236601107604941,[40],2230
native,H_13_target1_visible,H_13,visible,1,True,1,0.01513206902081966,0.01513206902081966,[40],2230
native,H_13_target1_hidden,H_13,hidden,1,False,0,-0.013236601107604941,-0.013236601107604941,[40],2230
native,H_15_target0_visible,H_15,visible,0,True,0,-0.0032963917747690775,0.0032963917747690775,[40],2232
native,H_15_target0_hidden,H_15,hidden,0,True,0,-0.010898616131932683,0.010898616131932683,[40],2232
native,H_15_target1_visible,H_15,visible,1,True,1,0.014943021782476189,0.014943021782476189,[40],2232
native,H_15_target1_hidden,H_15,hidden,1,False,0,-0.010898616131932657,-0.010898616131932657,[40],2232
native,H_16_target0_visible,H_16,visible,0,True,0,-0.004146591306658104,0.004146591306658104,[40],2233
native,H_16_target0_hidden,H_16,hidden,0,True,0,-0.009244447693548426,0.009244447693548426,[40],2233
native,H_16_target1_visible,H_16,visible,1,True,1,0.016594089760394438,0.016594089760394438,[40],2233
native,H_16_target1_hidden,H_16,hidden,1,False,0,-0.009244447693548296,-0.009244447693548296,[40],2233
native,H_18_target0_visible,H_18,visible,0,True,0,-0.0043847446208847615,0.0043847446208847615,[40],2235
native,H_18_target0_hidden,H_18,hidden,0,True,0,-0.008043597529592293,0.008043597529592293,[40],2235
native,H_18_target1_visible,H_18,visible,1,True,1,0.016157686873979032,0.016157686873979032,[40],2235
native,H_18_target1_hidden,H_18,hidden,1,False,0,-0.008043597529592302,-0.008043597529592302,[40],2235
native,H_19_target0_visible,H_19,visible,0,True,0,-0.0032070282904477377,0.0032070282904477377,[40],2236
native,H_19_target0_hidden,H_19,hidden,0,True,0,-0.005413258602546397,0.005413258602546397,[40],2236
native,H_19_target1_visible,H_19,visible,1,True,1,0.01714922784564136,0.01714922784564136,[40],2236
native,H_19_target1_hidden,H_19,hidden,1,False,0,-0.005413258602546397,-0.005413258602546397,[40],2236
best,H_12_target0_visible,H_12,visible,0,True,0,-0.0038060576993393797,0.0038060576993393797,"[30, 35, 40]",2229
best,H_12_target0_hidden,H_12,hidden,0,True,0,-0.003956642256766287,0.003956642256766287,"[30, 35, 40]",2229
best,H_12_target1_visible,H_12,visible,1,True,1,0.016474006402278328,0.016474006402278328,"[30, 35, 40]",2229
best,H_12_target1_hidden,H_12,hidden,1,True,1,0.016499561318526194,0.016499561318526194,"[30, 35, 40]",2229
best,H_13_target0_visible,H_13,visible,0,True,0,-0.006074474782632094,0.006074474782632094,"[30, 35, 40]",2230
best,H_13_target0_hidden,H_13,hidden,0,True,0,-0.0070115095735817,0.0070115095735817,"[30, 35, 40]",2230
best,H_13_target1_visible,H_13,visible,1,True,1,0.013754904744113611,0.013754904744113611,"[30, 35, 40]",2230
best,H_13_target1_hidden,H_13,hidden,1,True,1,0.011448833909231747,0.011448833909231747,"[30, 35, 40]",2230
best,H_15_target0_visible,H_15,visible,0,True,0,-0.0037110934601385158,0.0037110934601385158,"[30, 35, 40]",2232
best,H_15_target0_hidden,H_15,hidden,0,True,0,-0.0038502567629037344,0.0038502567629037344,"[30, 35, 40]",2232
best,H_15_target1_visible,H_15,visible,1,True,1,0.017931445975435313,0.017931445975435313,"[30, 35, 40]",2232
best,H_15_target1_hidden,H_15,hidden,1,True,1,0.017034509105239307,0.017034509105239307,"[30, 35, 40]",2232
best,H_16_target0_visible,H_16,visible,0,True,0,-0.00220913151231987,0.00220913151231987,"[30, 35, 40]",2233
best,H_16_target0_hidden,H_16,hidden,0,True,0,-0.002956502762700246,0.002956502762700246,"[30, 35, 40]",2233
best,H_16_target1_visible,H_16,visible,1,True,1,0.0191604170139105,0.0191604170139105,"[30, 35, 40]",2233
best,H_16_target1_hidden,H_16,hidden,1,True,1,0.018840373343131864,0.018840373343131864,"[30, 35, 40]",2233
best,H_18_target0_visible,H_18,visible,0,True,0,-0.0024464344521194885,0.0024464344521194885,"[30, 35, 40]",2235
best,H_18_target0_hidden,H_18,hidden,0,False,,-0.0014802460275394926,0.0014802460275394926,"[30, 35, 40]",2235
best,H_18_target1_visible,H_18,visible,1,True,1,0.018972920624041455,0.018972920624041455,"[30, 35, 40]",2235
best,H_18_target1_hidden,H_18,hidden,1,True,1,0.018666211182788557,0.018666211182788557,"[30, 35, 40]",2235
best,H_19_target0_visible,H_19,visible,0,False,,-0.0016708922776340425,0.0016708922776340425,"[30, 35, 40]",2236
best,H_19_target0_hidden,H_19,hidden,0,False,,-0.0007093027167337934,0.0007093027167337934,"[30, 35, 40]",2236
best,H_19_target1_visible,H_19,visible,1,True,1,0.019570283411300207,0.019570283411300207,"[30, 35, 40]",2236
best,H_19_target1_hidden,H_19,hidden,1,True,1,0.017737783723198456,0.017737783723198456,"[30, 35, 40]",2236
