kind,split,condition,tasks,stage2_minus_stage1,ci_low,ci_high
H,all,hidden,4,0.0,-0.09375,0.09375
H,all,visible,4,0.0,0.0,0.0
H,test,hidden,2,0.0,-0.1875,0.1875
H,test,visible,2,0.0,0.0,0.0
H,train,hidden,2,0.0,0.0,0.0
H,train,visible,2,0.0,0.0,0.0
P,all,all,4,-0.041666666666666664,-0.12499999999999999,0.0
P,all,minus_y,4,-0.0625,-0.25,0.0
P,all,normal,4,0.0,0.0,0.0
P,all,plus_y,4,-0.0625,-0.25,0.0
P,test,all,1,-0.08333333333333333,-0.25,0.0
P,test,minus_y,1,0.0,0.0,0.0
P,test,normal,1,0.0,0.0,0.0
P,test,plus_y,1,-0.25,-0.75,0.0
P,train,all,2,-0.041666666666666664,-0.16666666666666666,0.0
P,train,minus_y,2,-0.125,-0.5,0.0
P,train,normal,2,0.0,0.0,0.0
P,train,plus_y,2,0.0,0.0,0.0
P,validation,all,1,0.0,0.0,0.0
P,validation,minus_y,1,0.0,0.0,0.0
P,validation,normal,1,0.0,0.0,0.0
P,validation,plus_y,1,0.0,0.0,0.0
S,all,all,40,-0.00625,-0.04375,0.0296875
S,all,camera,40,-0.0125,-0.09375,0.06875
S,all,combined,40,-0.025,-0.1,0.05
S,all,lighting,40,-0.0125,-0.05625,0.025
S,all,normal,40,0.025,-0.025,0.08125
S,test,all,4,0.0,-0.203125,0.21875
S,test,camera,4,0.0,-0.3125,0.375
S,test,combined,4,-0.0625,-0.4375,0.375
S,test,lighting,4,0.0625,0.0,0.25
S,test,normal,4,0.0,-0.25,0.25
S,train,all,32,-0.005859375,-0.043017578124999956,0.02734375
S,train,camera,32,-0.015625,-0.09375,0.0546875
S,train,combined,32,-0.015625,-0.0859375,0.0546875
S,train,lighting,32,-0.015625,-0.0625,0.0234375
S,train,normal,32,0.0234375,-0.015625,0.0703125
S,validation,all,4,-0.015625,-0.140625,0.125
S,validation,camera,4,0.0,-0.3125,0.375
S,validation,combined,4,-0.0625,-0.375,0.1875
S,validation,lighting,4,-0.0625,-0.25,0.0
S,validation,normal,4,0.0625,-0.25,0.375
