policy,case_id,kind,split,condition,task_index,layout,endpoint,steps
native,Hx_00_26_target0_visible,H,train,visible,13,Hx_00_26,True,5
best,Hx_00_26_target0_visible,H,train,visible,13,Hx_00_26,True,5
stage2_best,Hx_00_26_target0_visible,H,train,visible,13,Hx_00_26,True,5
native,Hx_00_26_target0_hidden,H,train,hidden,13,Hx_00_26,True,5
best,Hx_00_26_target0_hidden,H,train,hidden,13,Hx_00_26,True,5
stage2_best,Hx_00_26_target0_hidden,H,train,hidden,13,Hx_00_26,True,5
native,Hx_00_26_target1_visible,H,train,visible,13,Hx_00_26,True,5
best,Hx_00_26_target1_visible,H,train,visible,13,Hx_00_26,True,5
stage2_best,Hx_00_26_target1_visible,H,train,visible,13,Hx_00_26,True,5
native,Hx_00_26_target1_hidden,H,train,hidden,13,Hx_00_26,False,5
best,Hx_00_26_target1_hidden,H,train,hidden,13,Hx_00_26,True,5
stage2_best,Hx_00_26_target1_hidden,H,train,hidden,13,Hx_00_26,True,5
native,Hx_00_34_target0_visible,H,train,visible,13,Hx_00_34,True,5
best,Hx_00_34_target0_visible,H,train,visible,13,Hx_00_34,True,5
stage2_best,Hx_00_34_target0_visible,H,train,visible,13,Hx_00_34,True,5
native,Hx_00_34_target0_hidden,H,train,hidden,13,Hx_00_34,True,5
best,Hx_00_34_target0_hidden,H,train,hidden,13,Hx_00_34,True,5
stage2_best,Hx_00_34_target0_hidden,H,train,hidden,13,Hx_00_34,True,5
native,Hx_00_34_target1_visible,H,train,visible,13,Hx_00_34,True,5
best,Hx_00_34_target1_visible,H,train,visible,13,Hx_00_34,True,5
stage2_best,Hx_00_34_target1_visible,H,train,visible,13,Hx_00_34,True,5
native,Hx_00_34_target1_hidden,H,train,hidden,13,Hx_00_34,False,5
best,Hx_00_34_target1_hidden,H,train,hidden,13,Hx_00_34,True,5
stage2_best,Hx_00_34_target1_hidden,H,train,hidden,13,Hx_00_34,True,5
native,Hx_05_22_target0_visible,H,test,visible,9,Hx_05_22,True,5
best,Hx_05_22_target0_visible,H,test,visible,9,Hx_05_22,False,5
stage2_best,Hx_05_22_target0_visible,H,test,visible,9,Hx_05_22,False,5
native,Hx_05_22_target0_hidden,H,test,hidden,9,Hx_05_22,False,5
best,Hx_05_22_target0_hidden,H,test,hidden,9,Hx_05_22,True,5
stage2_best,Hx_05_22_target0_hidden,H,test,hidden,9,Hx_05_22,False,5
native,Hx_05_22_target1_visible,H,test,visible,9,Hx_05_22,True,5
best,Hx_05_22_target1_visible,H,test,visible,9,Hx_05_22,True,5
stage2_best,Hx_05_22_target1_visible,H,test,visible,9,Hx_05_22,True,5
native,Hx_05_22_target1_hidden,H,test,hidden,9,Hx_05_22,False,5
best,Hx_05_22_target1_hidden,H,test,hidden,9,Hx_05_22,True,5
stage2_best,Hx_05_22_target1_hidden,H,test,hidden,9,Hx_05_22,True,5
native,Hx_05_26_target0_visible,H,test,visible,9,Hx_05_26,True,5
best,Hx_05_26_target0_visible,H,test,visible,9,Hx_05_26,True,5
stage2_best,Hx_05_26_target0_visible,H,test,visible,9,Hx_05_26,True,5
native,Hx_05_26_target0_hidden,H,test,hidden,9,Hx_05_26,False,5
best,Hx_05_26_target0_hidden,H,test,hidden,9,Hx_05_26,True,5
stage2_best,Hx_05_26_target0_hidden,H,test,hidden,9,Hx_05_26,True,5
native,Hx_05_26_target1_visible,H,test,visible,9,Hx_05_26,True,5
best,Hx_05_26_target1_visible,H,test,visible,9,Hx_05_26,True,5
stage2_best,Hx_05_26_target1_visible,H,test,visible,9,Hx_05_26,True,5
native,Hx_05_26_target1_hidden,H,test,hidden,9,Hx_05_26,False,5
best,Hx_05_26_target1_hidden,H,test,hidden,9,Hx_05_26,False,5
stage2_best,Hx_05_26_target1_hidden,H,test,hidden,9,Hx_05_26,True,5
native,Hx_05_34_target0_visible,H,test,visible,9,Hx_05_34,True,5
best,Hx_05_34_target0_visible,H,test,visible,9,Hx_05_34,True,5
stage2_best,Hx_05_34_target0_visible,H,test,visible,9,Hx_05_34,True,5
