kind,split,condition,policy,successes,episodes,tasks,macro_task_rate,complete
H,all,hidden,native,7,26,4,0.28125,True
H,all,hidden,best,25,26,4,0.96875,True
H,all,hidden,stage2_best,25,26,4,0.96875,True
H,all,visible,native,26,26,4,1.0,True
H,all,visible,best,24,26,4,0.9375,True
H,all,visible,stage2_best,24,26,4,0.9375,True
H,test,hidden,native,1,14,2,0.0625,True
H,test,hidden,best,13,14,2,0.9375,True
H,test,hidden,stage2_best,13,14,2,0.9375,True
H,test,visible,native,14,14,2,1.0,True
H,test,visible,best,12,14,2,0.875,True
H,test,visible,stage2_best,12,14,2,0.875,True
H,train,hidden,native,6,12,2,0.5,True
H,train,hidden,best,12,12,2,1.0,True
H,train,hidden,stage2_best,12,12,2,1.0,True
H,train,visible,native,12,12,2,1.0,True
H,train,visible,best,12,12,2,1.0,True
H,train,visible,stage2_best,12,12,2,1.0,True
P,all,all,native,46,48,4,0.9583333333333333,True
P,all,all,best,47,48,4,0.9791666666666666,True
P,all,all,stage2_best,45,48,4,0.9375,True
P,all,minus_y,native,15,16,4,0.9375,True
P,all,minus_y,best,15,16,4,0.9375,True
P,all,minus_y,stage2_best,14,16,4,0.875,True
P,all,normal,native,15,16,4,0.9375,True
P,all,normal,best,16,16,4,1.0,True
P,all,normal,stage2_best,16,16,4,1.0,True
P,all,plus_y,native,16,16,4,1.0,True
P,all,plus_y,best,16,16,4,1.0,True
P,all,plus_y,stage2_best,15,16,4,0.9375,True
P,test,all,native,11,12,1,0.9166666666666666,True
P,test,all,best,12,12,1,1.0,True
P,test,all,stage2_best,11,12,1,0.9166666666666666,True
P,test,minus_y,native,4,4,1,1.0,True
P,test,minus_y,best,4,4,1,1.0,True
P,test,minus_y,stage2_best,4,4,1,1.0,True
P,test,normal,native,3,4,1,0.75,True
P,test,normal,best,4,4,1,1.0,True
P,test,normal,stage2_best,4,4,1,1.0,True
P,test,plus_y,native,4,4,1,1.0,True
P,test,plus_y,best,4,4,1,1.0,True
P,test,plus_y,stage2_best,3,4,1,0.75,True
P,train,all,native,23,24,2,0.9583333333333333,True
P,train,all,best,23,24,2,0.9583333333333333,True
P,train,all,stage2_best,22,24,2,0.9166666666666666,True
P,train,minus_y,native,7,8,2,0.875,True
P,train,minus_y,best,7,8,2,0.875,True
P,train,minus_y,stage2_best,6,8,2,0.75,True
P,train,normal,native,8,8,2,1.0,True
P,train,normal,best,8,8,2,1.0,True
P,train,normal,stage2_best,8,8,2,1.0,True
P,train,plus_y,native,8,8,2,1.0,True
P,train,plus_y,best,8,8,2,1.0,True
P,train,plus_y,stage2_best,8,8,2,1.0,True
P,validation,all,native,12,12,1,1.0,True
P,validation,all,best,12,12,1,1.0,True
P,validation,all,stage2_best,12,12,1,1.0,True
P,validation,minus_y,native,4,4,1,1.0,True
P,validation,minus_y,best,4,4,1,1.0,True
P,validation,minus_y,stage2_best,4,4,1,1.0,True
P,validation,normal,native,4,4,1,1.0,True
P,validation,normal,best,4,4,1,1.0,True
P,validation,normal,stage2_best,4,4,1,1.0,True
P,validation,plus_y,native,4,4,1,1.0,True
P,validation,plus_y,best,4,4,1,1.0,True
P,validation,plus_y,stage2_best,4,4,1,1.0,True
S,all,all,native,553,640,40,0.8640625,True
S,all,all,best,582,640,40,0.909375,True
