experiment,job_id,variant,initialization,n,lr,manual_seed,steps,train_loss,development_loss,blind,train_separation,development_separation,development_assignment,effect_weight,n_cases,width
query_convergence,0,original,stage2,1,0.0001,17,1000,0.058250751346349716,0.5225532576441765,,,,,,,
query_convergence,1,linear_query_control,stage2,1,0.0001,17,1000,0.056432776153087616,0.5239447094500065,,,,,,,
query_convergence,2,fourier_queries,stage2,1,0.0001,17,1000,0.0320277065038681,0.5071558216586709,,,,,,,
query_convergence,3,original,stage2,1,0.0005,17,1000,0.048998571932315826,0.5708126090466976,,,,,,,
query_convergence,4,linear_query_control,stage2,1,0.0005,17,1000,0.021447107195854187,0.5773108024150133,,,,,,,
query_convergence,5,fourier_queries,stage2,1,0.0005,17,1000,0.0070580169558525085,0.5550396423786879,,,,,,,
query_convergence,6,original,stage2,32,0.0001,17,1000,0.2315064426511526,0.3673660373315215,,,,,,,
query_convergence,7,linear_query_control,stage2,32,0.0001,17,1000,0.2312014284543693,0.36769282910972834,,,,,,,
query_convergence,8,fourier_queries,stage2,32,0.0001,17,1000,0.22333374992012978,0.36382362619042397,,,,,,,
query_convergence,9,original,stage2,32,0.0005,17,1000,0.14402858400717378,0.38114871829748154,,,,,,,
query_convergence,10,linear_query_control,stage2,32,0.0005,17,1000,0.14512885781005025,0.38454224448651075,,,,,,,
query_convergence,11,fourier_queries,stage2,32,0.0005,17,1000,0.1199918151833117,0.3783569037914276,,,,,,,
query_convergence,12,original,stage2,1,0.0001,29,1000,0.05613526701927185,0.5301998732611537,,,,,,,
query_convergence,13,linear_query_control,stage2,1,0.0001,29,1000,0.05708544701337814,0.5249647498130798,,,,,,,
query_convergence,14,fourier_queries,stage2,1,0.0001,29,1000,0.031987354159355164,0.5074681974947453,,,,,,,
query_convergence,15,original,stage2,1,0.0005,29,1000,0.027161531150341034,0.5726063326001167,,,,,,,
query_convergence,16,linear_query_control,stage2,1,0.0005,29,1000,0.02121410332620144,0.5782860945910215,,,,,,,
query_convergence,17,fourier_queries,stage2,1,0.0005,29,1000,0.006813112646341324,0.5568339005112648,,,,,,,
query_convergence,18,original,stage2,32,0.0001,29,1000,0.23176858620718122,0.3671805150806904,,,,,,,
query_convergence,19,linear_query_control,stage2,32,0.0001,29,1000,0.23141684150323272,0.36697155237197876,,,,,,,
query_convergence,20,fourier_queries,stage2,32,0.0001,29,1000,0.22385934414342046,0.36390460655093193,,,,,,,
query_convergence,21,original,stage2,32,0.0005,29,1000,0.15109817404299974,0.3873304883018136,,,,,,,
query_convergence,22,linear_query_control,stage2,32,0.0005,29,1000,0.14675139519385993,0.3887779964134097,,,,,,,
query_convergence,23,fourier_queries,stage2,32,0.0005,29,1000,0.12399784685112536,0.3830920150503516,,,,,,,
query_convergence,24,original,stage2,1,0.0001,43,1000,0.05400268733501434,0.5279053952544928,,,,,,,
query_convergence,25,linear_query_control,stage2,1,0.0001,43,1000,0.057706069201231,0.5247250143438578,,,,,,,
query_convergence,26,fourier_queries,stage2,1,0.0001,43,1000,0.03266966715455055,0.5075734630227089,,,,,,,
query_convergence,27,original,stage2,1,0.0005,43,1000,0.02141506038606167,0.5748377963900566,,,,,,,
query_convergence,28,linear_query_control,stage2,1,0.0005,43,1000,0.05083213001489639,0.5856568608433008,,,,,,,
query_convergence,29,fourier_queries,stage2,1,0.0005,43,1000,0.006817365065217018,0.552747605368495,,,,,,,
query_convergence,30,original,stage2,32,0.0001,43,1000,0.23175332555547357,0.36712145432829857,,,,,,,
query_convergence,31,linear_query_control,stage2,32,0.0001,43,1000,0.23128373455256224,0.3671218603849411,,,,,,,
query_convergence,32,fourier_queries,stage2,32,0.0001,43,1000,0.22369361808523536,0.36495971865952015,,,,,,,
query_convergence,33,original,stage2,32,0.0005,43,1000,0.14991361182183027,0.3852110644802451,,,,,,,
query_convergence,34,linear_query_control,stage2,32,0.0005,43,1000,0.15199275687336922,0.3835529163479805,,,,,,,
query_convergence,35,fourier_queries,stage2,32,0.0005,43,1000,0.12077368632890284,0.3795664729550481,,,,,,,
