model_kind,effect_weight,steps,manual_seed,training_cases,blind,parameters,seconds,peak_allocated_bytes,source_report,split,family,episodes,loss,copy_gain,action_variance_explained
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_01,28,0.09240626211145095,0.08555265223119057,-4.046331492091326e-09
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_02,28,0.11353582702577114,0.08335721908818394,-9.640613862771374e-09
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_03,28,0.19899890079562152,0.11598949476097897,-7.456916417680759e-09
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_09,28,0.0878694477890219,0.06972320890988204,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_10,28,0.12205418651657444,0.06929559738500679,-9.112921084408754e-09
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_12,28,0.09473694967372077,0.07332984449436974,-1.1216184869766721e-08
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_16,28,0.07564742118120193,0.0555083069342136,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_19,27,0.07003932901554638,0.061398001684797254,7.347723540718221e-09
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,train,scene_20,27,0.1524297334253788,0.0905626073588478,-7.589346262548702e-09
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_01,4,0.10799000039696693,0.0533848290037503,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_02,4,0.18931762874126434,0.06402818577509173,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_03,4,0.2706131422892213,0.041665492393335835,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_09,4,0.11323115602135658,0.05582661029009828,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_10,4,0.13836943358182907,0.0637338229889649,-2.0544096424046643e-08
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_12,4,0.07991812191903591,0.05865038054748839,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_16,4,0.0708467410877347,0.04592890491768509,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_19,4,0.0723024308681488,0.04532760952341064,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,id_development,scene_20,4,0.1883939728140831,0.08876129874072003,0.0
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,development,scene_13,12,0.07632847440739472,0.04919454569015658,-1.4256474223373061e-08
local,1.0,4000,29,250,True,381722,359.59346326533705,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s29/report.json,development,scene_21,12,0.08711133369555076,0.03979619271663726,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_01,28,0.09266738846365895,0.08296856004140851,-6.069497127114687e-09
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_02,28,0.11360020057431289,0.08283749284759312,-1.156873663532565e-08
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_03,28,0.20007008726575545,0.11123097554865002,-4.971277611787173e-09
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_09,28,0.08794506852115903,0.06892260968224917,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_10,28,0.12335380885217871,0.05938553805804203,-1.5188202029392528e-08
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_12,28,0.09434069320559502,0.07720582999108316,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_16,28,0.07535789414708104,0.059123180704862666,4.077615911590726e-09
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_19,27,0.06970585234187267,0.0658669461578687,2.449241254254275e-09
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,train,scene_20,27,0.15194846579322108,0.09343398140586978,-7.589346262548702e-09
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_01,4,0.10785946249961853,0.05452909378350512,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_02,4,0.19002672657370567,0.060522460560246016,0.0
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_03,4,0.26930900290608406,0.046283899921576,-3.090704425723345e-08
local,1.0,4000,43,250,True,381722,359.6227888101712,9126026240,runs/predictor_iterations_s11227/confirmation/blind_s43/report.json,id_development,scene_09,4,0.11305568553507328,0.057289763804109106,0.0
