model,manual_seed,loss,swapped_loss,action_variance_explained_macro,action_variance_explained,seconds,peak_allocated_bytes
small_affine_live,17,0.08412493206560612,0.09507279035945733,0.06812956432501475,,,
small_affine_blind,17,0.08942158768574397,0.08942158768574397,-9.934107462565104e-09,,,
small_affine_action_only,17,0.08528996569414933,0.09410668971637885,0.05291488766670227,,,
small_affine_live,29,0.08450663462281227,0.09457805193960667,0.06138990819454193,,,
small_affine_blind,29,0.08919875075419743,0.08919875075419743,-9.934107462565104e-09,,,
small_affine_action_only,29,0.08496713079512119,0.0941462330520153,0.05800489584604899,,,
small_affine_live,43,0.0840792649736007,0.09478539911409219,0.06756556530793507,,,
small_affine_blind,43,0.08913952857255936,0.08913952857255936,-9.934107462565104e-09,,,
small_affine_action_only,43,0.08527347259223461,0.09458705099920432,0.05416520436604818,,,
blind_s17,17,0.09137332811951637,0.09137332811951637,,-8.425454334215488e-09,19.513191777281463,1290101760
concat_norm_blind_s17,17,0.09156227360169093,0.09156227360169093,,-8.425454334215488e-09,19.759293887764215,1290101760
concat_norm_blind_s29,29,0.09119594655930996,0.09119594655930996,,-8.425454334215488e-09,19.61818175856024,1290101760
concat_norm_blind_s43,43,0.09079127572476864,0.09079127572476864,,-8.425454334215488e-09,19.415666110813618,1290101760
concat_norm_s17,17,0.09208976725737254,0.09447333465019862,,0.010037471070097226,19.282368098385632,1290101760
concat_norm_s29,29,0.08634291589260101,0.09343578418095906,,0.03973201545411975,20.03139302879572,1290101760
concat_norm_s43,43,0.09404082223773003,0.09424575107793014,,0.0021939966979044323,19.155313555151224,1290101760
control_residual_blind_s17,17,0.08990014220277469,0.08990014220277469,,-8.425454334215488e-09,19.53316762857139,1290252288
control_residual_blind_s29,29,0.08951567796369393,0.08951567796369393,,-8.425454334215488e-09,19.92704833764583,1290252288
control_residual_blind_s43,43,0.08997238737841447,0.08997238737841447,,-8.425454334215488e-09,19.618819889612496,1290252288
control_residual_s17,17,0.08327013564606507,0.09652049032350381,,0.07887101374015903,19.338599644601345,1290252288
control_residual_s29,29,0.08459242495397727,0.09543411744137605,,0.06280202120074285,19.20825269818306,1290252288
control_residual_s43,43,0.08483638676504295,0.09551806064943473,,0.0579722896669298,19.24528214521706,1290252288
live_s17,17,0.09112137493987878,0.09121036343276501,,0.0013906170022034425,20.089887767098844,1290101760
normalized_s17,17,0.09208976725737254,0.09447333465019862,,0.010037471070097226,19.666630188934505,1290101760
zero_context_s17,17,0.08457559781769912,0.09579210728406906,,0.06333546198220852,19.75696541927755,1290163200
